set_id,ver_id,url,status,path,,,,
188,3,https://www.youtube.com/watch?v=z96m4jzZ2nQ,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/188/3.mp3,,,,
1612,8,https://www.youtube.com/watch?v=B67GrQqoho4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1612/8.mp3,,,,
1156,4,https://www.youtube.com/watch?v=8rU6AT-AK9w,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1156/4.mp3,,,,
1349,24,https://www.youtube.com/watch?v=DKXM4ldT6SM,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1349/24.mp3,,,,
23,82,https://www.youtube.com/watch?v=_Tc9CBlbumM,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/23/82.mp3,,,,
254,4,https://www.youtube.com/watch?v=pSuVA5mGjvI,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/254/4.mp3,,,,
19,28,https://www.youtube.com/watch?v=pKxBBS44EPQ,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/19/28.mp3,,,,
481,11,https://www.youtube.com/watch?v=HMbsNcAGANc,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/481/11.mp3,,,,
139,35,https://www.youtube.com/watch?v=-Km7_QYpSoo,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/139/35.mp3,,,,
149,78,https://www.youtube.com/watch?v=sBnVKqCsvgs,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/149/78.mp3,,,,
99,40,https://www.youtube.com/watch?v=xBPubhPNN6U,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/99/40.mp3,,,,
1122,1,https://www.youtube.com/watch?v=4PTEJzOd0a4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1122/1.mp3,,,,
345,30,https://www.youtube.com/watch?v=Ha0pqblQUc0,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/345/30.mp3,,,,
345,32,https://www.youtube.com/watch?v=qXk9qI0ymmw,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/345/32.mp3,,,,
84,30,https://www.youtube.com/watch?v=G1-B2Om0VQ0,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/84/30.mp3,,,,
3736,0,https://www.youtube.com/watch?v=GFwpWvG4ZVw,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/3736/0.mp3,,,,
1670,7,https://www.youtube.com/watch?v=Ddp2xivfOU4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1670/7.mp3,,,,
293,19,https://www.youtube.com/watch?v=no9e6CQ6znI,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/293/19.mp3,,,,
2067,21,https://www.youtube.com/watch?v=fdIVz_6984k,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/2067/21.mp3,,,,
618,12,https://www.youtube.com/watch?v=2Ar0QgHkyrs,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/618/12.mp3,,,,
281,46,https://www.youtube.com/watch?v=Q1R94UoZyjI,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/281/46.mp3,,,,
156,81,https://www.youtube.com/watch?v=FifF1mA8pOg,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/156/81.mp3,,,,
156,32,https://www.youtube.com/watch?v=J9RhVaORq5Y,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/156/32.mp3,,,,
4052,5,https://www.youtube.com/watch?v=rMvy9H5SRIo,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/4052/5.mp3,,,,
1834,8,https://www.youtube.com/watch?v=Er7CwSEb-TY,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1834/8.mp3,,,,
1668,3,https://www.youtube.com/watch?v=RPz5pFRLPoc,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1668/3.mp3,,,,
289,0,https://www.youtube.com/watch?v=NmreDDjW9Hw,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/289/0.mp3,,,,
66,60,https://www.youtube.com/watch?v=QkV1Bp3bNh4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/66/60.mp3,,,,
446,43,https://www.youtube.com/watch?v=NBZMmTH_uag,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/446/43.mp3,,,,
1435,10,https://www.youtube.com/watch?v=D16V1QJINv4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1435/10.mp3,,,,
4,67,https://www.youtube.com/watch?v=F2t4z2vjvBg,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/4/67.mp3,,,,
494,8,https://www.youtube.com/watch?v=dTGmfiC20Zg,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/494/8.mp3,,,,
668,23,https://www.youtube.com/watch?v=PRbpmsjltiY,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/668/23.mp3,,,,
455,23,https://www.youtube.com/watch?v=bXP-V2j0eSM,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/455/23.mp3,,,,
56,30,https://www.youtube.com/watch?v=N_UEZaXxvmE,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/56/30.mp3,,,,
757,33,https://www.youtube.com/watch?v=8QzRYk62cfk,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/757/33.mp3,,,,
1377,17,https://www.youtube.com/watch?v=70AuitOJQM4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1377/17.mp3,,,,
3183,11,https://www.youtube.com/watch?v=4FG9EAIxzY4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/3183/11.mp3,,,,
904,16,https://www.youtube.com/watch?v=fVVZZOr3eGk,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/904/16.mp3,,,,
15,46,https://www.youtube.com/watch?v=N6R2nO2t7kY,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/15/46.mp3,,,,
7923,3,https://www.youtube.com/watch?v=MwJRjf2BSD4,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/7923/3.mp3,,,,
3232,2,https://www.youtube.com/watch?v=ZJ3LfsZqxeE,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/3232/2.mp3,,,,
90,0,https://www.youtube.com/watch?v=ZCWuj2kg-HY,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/90/0.mp3,,,,
3382,6,https://www.youtube.com/watch?v=DoYaX8Bs7Vs,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/3382/6.mp3,,,,
678,7,https://www.youtube.com/watch?v=rWPm5IKo8vs,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/678/7.mp3,,,,
390,14,https://www.youtube.com/watch?v=lab_S3Ix8x8,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/390/14.mp3,,,,
390,17,https://www.youtube.com/watch?v=JoXmBk6qJvA,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/390/17.mp3,,,,
1438,8,https://www.youtube.com/watch?v=pIZ9WaGEKO8,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/1438/8.mp3,,,,
0,208,https://www.youtube.com/watch?v=HVzS_jp86Xw,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/208.wav,,,,
0,205,https://www.youtube.com/watch?v=e6FFJRqgNAc,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/205.wav,,,,
0,204,https://www.youtube.com/watch?v=s816VI0Mgkk,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/204.wav,,,,
0,209,https://www.youtube.com/watch?v=ezA53bjxaEc,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/209.wav,,,,
0,210,https://www.youtube.com/watch?v=4hIeFjT95kA,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/210.wav,,,,
0,211,https://www.youtube.com/watch?v=DMFvsmbyMPo,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/211.wav,,,,
0,207,https://www.youtube.com/watch?v=wfi-2NT1S5I,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/207.wav,,,,
0,213,https://www.youtube.com/watch?v=fmSBYjFjJvA,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/213.wav,,,,
0,212,https://www.youtube.com/watch?v=e6poJMnV5eI,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/212.wav,,,,
0,214,https://www.youtube.com/watch?v=yfhF3gI_b60,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/214.wav,,,,
0,215,https://www.youtube.com/watch?v=WXtqMNueN0o,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/215.wav,,,,
0,217,https://www.youtube.com/watch?v=05irF5MJeE0,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/217.wav,,,,
0,218,https://www.youtube.com/watch?v=NdA7TTyMlHA,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/218.wav,,,,
0,220,https://www.youtube.com/watch?v=oTAaJDyzB0U,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/220.wav,,,,
0,221,https://www.youtube.com/watch?v=hCVJtyEkgAA,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/221.wav,,,,
0,222,https://www.youtube.com/watch?v=aNpOyPtpFwQ,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/222.wav,,,,
0,225,https://www.youtube.com/watch?v=8M2Z23BPOtw,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/225.wav,,,,
0,223,https://www.youtube.com/watch?v=P2uYa2alxoo,exists,/content/drive/MyDrive/CQTNet/crawl_data/data/0/223.wav,,,,
